IDs,Pure Durations,K,Speed Set,Version,Total Time,One file
28_150947,598.61,Yes,100000,v1alert,844,No
28_163451,626.98,No,100000,v1alert,664,No
28_123904,2135.73,Yes,10000,v1,-,No
28_145136,622.64,Yes,10000,v1alert,850,No
28_092832,2325.45,Yes,1000,v1,-,No
28_152443,612.56,No,1000,v1alert,937,No
29_104307,689.94,No,1000,v2,728,No
29_105515,692.73,No,Top,v2,731,No
28_154020,3012.07,No,100,v1alert,3271,No
28_101717,2305.76,Yes,5000,v1,-,No
28_113135,2216.31,Yes,5000,v1alert,-,No
30_211305,532.89,Yes,Top,v2,15678,No
29_102807,658.08,Yes,Top,v2,900,No
31_082427,579.59,No,5000,v2,614,No
31_083441,579.33,No,5000,v2,613,No
31_084454,578,No,5000,v2,612,No
31_085506,581.232,No,5000,v2,615,No
31_090521,580.486,No,5000,v2,615,No
31_100049,651.627,Yes,5000,v2,912,No
31_101601,670.816,Yes,5000,v2,905,No
31_103106,674.416,Yes,1000,v2,909,No
31_171118,578.5,No,5000,v2,581,Yes
31_172059,572.77,No,1000,v2,574,Yes
31_185113,573.87,No,1000,v2,575,Yes
